timestamp,model,machine,status,returncode,duration_sec,best_percentile,best_threshold,precision,recall,f1,pred_anomalies,true_anomalies,log_path,command,error
2026-04-20T17:12:16,lstm,machine-3-8,ok,0,45.241,99.9,46.978577,0.407708,0.141053,0.209593,493,1425,results/logs/lstm__machine-3-8.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-3-8",
2026-04-20T17:13:01,lstm,machine-3-9,ok,0,37.39,99.9,6.262436,0.449597,0.657817,0.534132,496,339,results/logs/lstm__machine-3-9.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-3-9",
2026-04-20T17:13:39,gcn,machine-1-1,ok,0,21.297,99.9,0.902292,0.209276,0.879248,0.338083,11621,2766,results/logs/gcn__machine-1-1.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-1-1",
2026-04-20T17:14:00,gcn,machine-1-2,ok,0,21.482,99.0,0.494193,0.554795,0.384494,0.454206,438,632,results/logs/gcn__machine-1-2.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-1-2",
2026-04-20T17:14:22,gcn,machine-1-3,ok,0,17.788,99.0,0.338111,0.343593,0.518919,0.413437,1397,925,results/logs/gcn__machine-1-3.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-1-3",
2026-04-20T17:14:39,gcn,machine-1-4,ok,0,17.528,99.0,0.165007,0.310326,0.700483,0.430108,1869,828,results/logs/gcn__machine-1-4.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-1-4",
2026-04-20T17:14:57,gcn,machine-1-5,ok,0,18.282,99.9,1.33556,0.173645,0.865031,0.289231,812,163,results/logs/gcn__machine-1-5.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-1-5",
2026-04-20T17:15:15,gcn,machine-1-6,ok,0,17.469,99.9,3.376821,0.982462,0.760432,0.857305,3079,3978,results/logs/gcn__machine-1-6.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-1-6",
2026-04-20T17:15:33,gcn,machine-1-7,ok,0,17.206,99.0,0.862805,0.868293,0.070775,0.130882,205,2515,results/logs/gcn__machine-1-7.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-1-7",
2026-04-20T17:15:50,gcn,machine-1-8,ok,0,17.736,99.5,0.375017,0.228856,0.341463,0.274043,1407,943,results/logs/gcn__machine-1-8.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-1-8",
2026-04-20T17:16:08,gcn,machine-2-1,ok,0,17.468,99.0,0.359587,0.391447,0.277389,0.324693,912,1287,results/logs/gcn__machine-2-1.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-1",
